TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,NumSold,PaymntType
1,5/4/2025,1034,2059,402,0.0,2048.2,4.0,Credit Card
2,5/4/2025,1066,2048,403,1.0,321.87,1.0,Cash
3,5/4/2025,1116,2041,403,3.0,3216.84,4.0,Credit Card
4,5/4/2025,1071,2096,404,2.0,1613.23,2.0,Credit Card
5,5/4/2025,1020,2060,401,0.0,408.38,1.0,Cash
6,5/4/2025,1089,2028,401,0.0,1275.88,2.0,Credit Card
7,5/4/2025,1193,2003,402,1.0,346.66,1.0,Cash
8,5/4/2025,1005,2079,402,1.0,855.49,1.0,Credit Card
9,5/4/2025,1032,2060,401,1.0,735.08,2.0,Cash
10,5/4/2025,1119,2089,403,2.0,661.63,2.0,Cash
11,5/4/2025,1042,2077,401,,505.65,1.0,Cash
12,5/4/2025,1079,2013,401,2.0,0,0.0,Cash
13,5/4/2025,1147,2086,404,3.0,4470.5,5.0,Cash
14,5/4/2025,1183,2025,401,1.0,503.32,2.0,Cash
15,5/4/2025,1026,2089,403,0.0,413.52,1.0,Credit Card
16,5/4/2025,1144,2005,403,3.0,1715.12,4.0,Credit Card
17,5/4/2025,1169,2047,401,2.0,535.97,2.0,Cash
18,5/4/2025,1003,2053,404,0.0,3660.9,6.0,Cash
19,5/4/2025,1110,2046,404,1.0,30.09,1.0,Cash
20,5/4/2025,1111,2022,403,3.0,671.18,1.0,Cash
22,5/4/2025,1062,2011,403,3.0,1229.22,3.0,Credit Card
23,5/4/2025,1062,2096,404,3.0,672.18,1.0,Cash
24,5/4/2025,1086,2003,404,2.0,924.43,2.0,Cash
25,5/4/2025,1046,2062,402,2.0,1981.95,3.0,Credit Card
26,5/4/2025,1066,2043,403,2.0,698.76,1.0,Cash
27,5/4/2025,1142,2001,402,0.0,1237.05,3.0,Cash
28,5/4/2025,1061,2092,404,3.0,482.21,1.0,Credit Card
29,5/4/2025,1142,2097,402,3.0,4210.5,5.0,Credit Card
30,5/4/2025,1165,2091,404,3.0,4528.95,5.0,Cash
31,2023-13-01,1004,2011,403,1.0,737.53,2.0,Cash
32,5/4/2025,1103,2088,402,2.0,0,0.0,Credit Card
33,5/4/2025,1169,2074,403,3.0,0,0.0,Cash
34,5/4/2025,1141,2067,403,3.0,872.85,3.0,Cash
35,5/4/2025,1190,2070,403,2.0,54.69,2.0,Cash
36,5/4/2025,1179,2058,403,2.0,1066.8,2.0,Credit Card
37,5/4/2025,1064,2029,401,1.0,12.16,1.0,Cash
38,5/4/2025,1080,2015,402,1.0,3037.36,4.0,Credit Card
39,5/4/2025,1055,2094,404,2.0,1578.72,3.0,Cash
40,5/4/2025,1185,2075,403,0.0,0,0.0,Credit Card
41,5/4/2025,9999,2037,402,2.0,288.11,1.0,Cash
42,5/4/2025,1045,2038,401,1.0,1667.72,2.0,Cash
43,5/4/2025,1070,2005,401,2.0,686.05,2.0,Credit Card
44,5/4/2025,1178,2016,404,0.0,0,0.0,Cash
45,5/4/2025,1003,2073,403,3.0,1498.29,3.0,Cash
46,5/4/2025,1122,2056,403,1.0,944.5,2.0,Cash
47,5/4/2025,1013,2032,404,0.0,2836.8,3.0,Cash
48,5/4/2025,1016,2051,404,0.0,117.32,1.0,Credit Card
49,5/4/2025,1147,2080,401,1.0,0,0.0,Credit Card
50,5/4/2025,1038,2072,403,0.0,840.6,2.0,Cash
51,5/4/2025,1063,2015,404,1.0,1214.95,2.0,Credit Card
52,5/4/2025,1198,2066,404,3.0,516.06,1.0,Cash
53,5/4/2025,1113,2038,404,2.0,2223.62,2.0,Credit Card
54,5/4/2025,1145,2079,401,0.0,1901.08,2.0,Credit Card
55,5/4/2025,1195,2026,402,2.0,507.74,2.0,Cash
56,5/4/2025,1169,2010,402,1.0,140.11,2.0,Credit Card
57,5/4/2025,1044,2070,401,1.0,0,0.0,Credit Card
58,5/4/2025,1000,2052,404,3.0,2193.78,3.0,Credit Card
59,5/4/2025,1074,2004,402,2.0,741.8,1.0,Cash
60,5/4/2025,1180,2036,404,0.0,217.98,1.0,Credit Card
61,5/4/2025,1175,2029,403,1.0,36.48,3.0,Cash
62,5/4/2025,1108,2014,402,1.0,221.67,1.0,Cash
63,5/4/2025,1068,2018,401,0.0,2169.04,4.0,Cash
64,5/4/2025,1042,2039,403,3.0,2929.32,3.0,Credit Card
65,5/4/2025,1031,2059,403,3.0,0,0.0,Credit Card
66,5/4/2025,1069,2064,404,3.0,1470.2,5.0,Credit Card
67,5/4/2025,1020,2076,401,3.0,4836.42,6.0,Cash
68,5/4/2025,1188,2041,403,0.0,1608.42,2.0,Cash
69,5/4/2025,1023,2029,401,2.0,0,0.0,Cash
70,5/4/2025,1147,2005,402,3.0,0,0.0,Cash
71,5/4/2025,1132,2083,404,2.0,614.53,1.0,Credit Card
72,5/4/2025,1046,2074,404,3.0,659.5,1.0,Cash
73,5/4/2025,1023,2060,403,3.0,1225.14,3.0,Credit Card
74,5/4/2025,1085,2041,401,1.0,1447.58,2.0,Credit Card
75,5/4/2025,1084,2052,404,2.0,2925.04,4.0,Cash
76,5/4/2025,1169,2051,401,3.0,117.32,1.0,Credit Card
77,5/4/2025,1022,2040,403,2.0,55.26,2.0,Cash
78,5/4/2025,1029,2098,404,0.0,3631.44,4.0,Credit Card
79,5/4/2025,1168,2069,404,3.0,232.39,1.0,Cash
80,5/4/2025,1013,2024,403,3.0,372.81,3.0,Credit Card
